                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.80133,                0.63546,                0.98763,                0.90723,                0.56279,                0.62687,                0.45479,                 1.4396,                 1.7196,                  1.255,             0.00044576,             0.00044576,             0.00044576
                     77,                 0.7679,                0.65657,                0.99016,                0.81488,                0.59138,                0.63079,                0.45703,                 1.4422,                 1.7334,                 1.2442,             0.00042925,             0.00042925,             0.00042925
                     78,                0.77201,                0.64951,                0.98661,                0.89625,                0.55116,                0.62013,                0.44368,                 1.4828,                 1.7813,                 1.2569,             0.00041275,             0.00041275,             0.00041275
                     79,                0.82754,                0.68845,                  1.002,                0.84417,                 0.5868,                0.63375,                0.45434,                  1.471,                 1.6667,                 1.2494,             0.00039625,             0.00039625,             0.00039625
                     80,                0.77667,                0.63789,                0.97185,                0.86717,                0.57442,                0.63766,                 0.4613,                 1.4127,                 1.5125,                 1.2244,             0.00037974,             0.00037974,             0.00037974
                     81,                 0.7833,                 0.6293,                 0.9894,                0.85997,                0.62093,                0.65684,                0.47766,                 1.4202,                 1.4695,                 1.2314,             0.00036324,             0.00036324,             0.00036324
                     82,                0.75622,                0.64363,                0.99972,                0.83355,                0.62174,                0.68371,                0.49549,                 1.4288,                  1.382,                  1.242,             0.00034674,             0.00034674,             0.00034674
                     83,                0.66284,                0.63889,                0.95817,                0.88135,                 0.6093,                0.67366,                0.49046,                 1.4459,                 1.4215,                 1.2513,             0.00033023,             0.00033023,             0.00033023
                     84,                0.73724,                0.58668,                0.97793,                0.88329,                 0.6093,                0.64776,                0.47711,                 1.4202,                 1.4602,                 1.2486,             0.00031373,             0.00031373,             0.00031373
                     85,                 0.7413,                0.59581,                0.97159,                0.90653,                 0.6093,                0.65217,                0.47768,                 1.3825,                 1.5257,                  1.214,             0.00029723,             0.00029723,             0.00029723
                     86,                0.69838,                0.56035,                0.95366,                0.91248,                0.59459,                 0.6624,                0.47499,                 1.3564,                 1.4955,                 1.1932,             0.00028072,             0.00028072,             0.00028072
                     87,                0.72162,                0.58175,                0.96281,                0.85854,                0.60043,                0.66193,                0.49159,                 1.3811,                 1.5909,                 1.2195,             0.00026422,             0.00026422,             0.00026422
